combination,k_way,correlation,p_value,abs_correlation,p_fdr_corrected,significant_after_fdr,supports_dvorak
dont_cross_home,1,-0.09420328443468644,0.0,0.09420328443468644,0.0,True,True
hands,1,-0.08999081049359456,0.0,0.08999081049359456,0.0,True,True
skip_fingers,1,-0.08973048130404572,0.0,0.08973048130404572,0.0,True,True
fingers,1,-0.08782253267089606,0.0,0.08782253267089606,0.0,True,True
same_row,1,-0.08750014267729267,0.0,0.08750014267729267,0.0,True,True
strong_fingers,1,0.06538458860454252,0.0,0.06538458860454252,0.0,True,False
home_row,1,-0.05770935396593604,0.0,0.05770935396593604,0.0,True,True
strum,1,0.024403221417256173,0.0,0.024403221417256173,0.0,True,False
columns,1,0.018929108226445005,0.0,0.018929108226445005,0.0,True,False
skip_fingers + same_row,2,-0.12906330267441105,0.0,0.12906330267441105,0.0,True,True
hands + same_row,2,-0.12025722209603627,0.0,0.12025722209603627,0.0,True,True
fingers + same_row,2,-0.11957906418410694,0.0,0.11957906418410694,0.0,True,True
fingers + dont_cross_home,2,-0.11778081437654556,0.0,0.11778081437654556,0.0,True,True
dont_cross_home + same_row,2,-0.1123169545177157,0.0,0.1123169545177157,0.0,True,True
same_row + home_row,2,-0.11168073568038399,0.0,0.11168073568038399,0.0,True,True
hands + dont_cross_home,2,-0.10145907311758941,0.0,0.10145907311758941,0.0,True,True
hands + fingers,2,-0.10050500128624235,0.0,0.10050500128624235,0.0,True,True
hands + home_row,2,-0.09849245919431629,0.0,0.09849245919431629,0.0,True,True
skip_fingers + dont_cross_home,2,-0.09682027183291327,0.0,0.09682027183291327,0.0,True,True
hands + skip_fingers,2,-0.09616624610766983,0.0,0.09616624610766983,0.0,True,True
fingers + skip_fingers,2,-0.09461006888236957,0.0,0.09461006888236957,0.0,True,True
skip_fingers + home_row,2,-0.08889425041511421,0.0,0.08889425041511421,0.0,True,True
hands + columns,2,-0.08718695702685433,0.0,0.08718695702685433,0.0,True,True
skip_fingers + columns,2,-0.08315843128988676,0.0,0.08315843128988676,0.0,True,True
fingers + home_row,2,-0.08019778661686659,0.0,0.08019778661686659,0.0,True,True
dont_cross_home + home_row,2,-0.08013976760409365,0.0,0.08013976760409365,0.0,True,True
columns + strong_fingers,2,0.0771539443278546,0.0,0.0771539443278546,0.0,True,False
dont_cross_home + columns,2,-0.07050710538316302,0.0,0.07050710538316302,0.0,True,True
same_row + columns,2,-0.06539712787754884,0.0,0.06539712787754884,0.0,True,True
same_row + strong_fingers,2,-0.06082002855332634,0.0,0.06082002855332634,0.0,True,True
hands + strum,2,-0.058631142880472775,0.0,0.058631142880472775,0.0,True,True
skip_fingers + strum,2,-0.055420603564244185,0.0,0.055420603564244185,0.0,True,True
skip_fingers + strong_fingers,2,-0.05158799058895296,0.0,0.05158799058895296,0.0,True,True
same_row + strum,2,-0.05070352775932213,0.0,0.05070352775932213,0.0,True,True
hands + strong_fingers,2,-0.045060027581343455,0.0,0.045060027581343455,0.0,True,True
dont_cross_home + strum,2,-0.043997364678734774,0.0,0.043997364678734774,0.0,True,True
home_row + columns,2,-0.043638609030394314,0.0,0.043638609030394314,0.0,True,True
fingers + columns,2,-0.042988245654416155,0.0,0.042988245654416155,0.0,True,True
strum + strong_fingers,2,0.04293995144644145,0.0,0.04293995144644145,0.0,True,False
columns + strum,2,0.03265811918771374,0.0,0.03265811918771374,0.0,True,False
dont_cross_home + strong_fingers,2,-0.02770581860947565,0.0,0.02770581860947565,0.0,True,True
home_row + strong_fingers,2,-0.020747831174567567,0.0,0.020747831174567567,0.0,True,True
home_row + strum,2,-0.019819995051800553,0.0,0.019819995051800553,0.0,True,True
fingers + strum,2,0.012209291070687727,1.3228597455213366e-280,0.012209291070687727,1.3412327975424664e-280,True,False
fingers + strong_fingers,2,0.004832388131906255,1.465147385698246e-45,0.004832388131906255,1.4680202237094192e-45,True,False
fingers + skip_fingers + same_row,3,-0.13850417513723803,0.0,0.13850417513723803,0.0,True,True
fingers + same_row + home_row,3,-0.1380986107548882,0.0,0.1380986107548882,0.0,True,True
skip_fingers + dont_cross_home + same_row,3,-0.1356577832729907,0.0,0.1356577832729907,0.0,True,True
hands + fingers + same_row,3,-0.13298603920130828,0.0,0.13298603920130828,0.0,True,True
skip_fingers + same_row + home_row,3,-0.13298181150332414,0.0,0.13298181150332414,0.0,True,True
fingers + dont_cross_home + same_row,3,-0.13233020845073393,0.0,0.13233020845073393,0.0,True,True
hands + same_row + home_row,3,-0.12805341663750477,0.0,0.12805341663750477,0.0,True,True
hands + dont_cross_home + same_row,3,-0.12531780371561377,0.0,0.12531780371561377,0.0,True,True
hands + skip_fingers + same_row,3,-0.1183563490526285,0.0,0.1183563490526285,0.0,True,True
dont_cross_home + same_row + home_row,3,-0.11579065364012571,0.0,0.11579065364012571,0.0,True,True
hands + same_row + columns,3,-0.1136126714423238,0.0,0.1136126714423238,0.0,True,True
skip_fingers + same_row + columns,3,-0.11110481405593899,0.0,0.11110481405593899,0.0,True,True
hands + fingers + dont_cross_home,3,-0.1091482378718655,0.0,0.1091482378718655,0.0,True,True
hands + fingers + home_row,3,-0.10602192062417484,0.0,0.10602192062417484,0.0,True,True
skip_fingers + same_row + strong_fingers,3,-0.10521431662987842,0.0,0.10521431662987842,0.0,True,True
hands + skip_fingers + home_row,3,-0.10447541518738075,0.0,0.10447541518738075,0.0,True,True
hands + dont_cross_home + home_row,3,-0.1033975467265967,0.0,0.1033975467265967,0.0,True,True
hands + skip_fingers + dont_cross_home,3,-0.10293357128978516,0.0,0.10293357128978516,0.0,True,True
fingers + skip_fingers + dont_cross_home,3,-0.1022515642925484,0.0,0.1022515642925484,0.0,True,True
dont_cross_home + same_row + columns,3,-0.1020891474198554,0.0,0.1020891474198554,0.0,True,True
hands + fingers + skip_fingers,3,-0.10082625879387508,0.0,0.10082625879387508,0.0,True,True
fingers + dont_cross_home + columns,3,-0.09987152101134024,0.0,0.09987152101134024,0.0,True,True
hands + home_row + columns,3,-0.09927243676653769,0.0,0.09927243676653769,0.0,True,True
hands + dont_cross_home + columns,3,-0.09920284898945315,0.0,0.09920284898945315,0.0,True,True
hands + fingers + columns,3,-0.0989641601871983,0.0,0.0989641601871983,0.0,True,True
dont_cross_home + same_row + strong_fingers,3,-0.09678953900877015,0.0,0.09678953900877015,0.0,True,True
fingers + dont_cross_home + home_row,3,-0.09571591529297345,0.0,0.09571591529297345,0.0,True,True
same_row + home_row + columns,3,-0.09519982725768933,0.0,0.09519982725768933,0.0,True,True
