combination,k_way,correlation,p_value,abs_correlation,p_fdr_corrected,significant_after_fdr,supports_dvorak
fingers + same_row + home_row + strum + strong_fingers,5,-0.14767568309473028,0.0,0.14767568309473028,0.0,True,True
fingers + same_row + home_row + strum,4,-0.14667951409094124,0.0,0.14667951409094124,0.0,True,True
fingers + same_row + home_row + strong_fingers,4,-0.14069691201733317,0.0,0.14069691201733317,0.0,True,True
fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,6,-0.13966079569496928,0.0,0.13966079569496928,0.0,True,True
fingers + same_row + home_row + columns + strum + strong_fingers,6,-0.13894628645390822,0.0,0.13894628645390822,0.0,True,True
fingers + same_row + home_row,3,-0.1380986107548882,0.0,0.1380986107548882,0.0,True,True
fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,7,-0.13707372241802385,0.0,0.13707372241802385,0.0,True,True
fingers + dont_cross_home + same_row + strum + strong_fingers,5,-0.13656895089181828,0.0,0.13656895089181828,0.0,True,True
fingers + dont_cross_home + same_row + home_row + strong_fingers,5,-0.13596520222624814,0.0,0.13596520222624814,0.0,True,True
fingers + dont_cross_home + same_row + home_row + strum,5,-0.13547493550892276,0.0,0.13547493550892276,0.0,True,True
fingers + dont_cross_home + same_row + strum,4,-0.13444047602902195,0.0,0.13444047602902195,0.0,True,True
fingers + same_row + home_row + columns + strum,5,-0.1343998076075818,0.0,0.1343998076075818,0.0,True,True
fingers + dont_cross_home + same_row + columns + strum + strong_fingers,6,-0.1332974790176337,0.0,0.1332974790176337,0.0,True,True
fingers + same_row + home_row + columns + strong_fingers,5,-0.1331429867253233,0.0,0.1331429867253233,0.0,True,True
fingers + dont_cross_home + same_row + home_row,4,-0.1330375946732053,0.0,0.1330375946732053,0.0,True,True
fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,6,-0.13170734602950213,0.0,0.13170734602950213,0.0,True,True
fingers + dont_cross_home + strum + strong_fingers,4,-0.1305714886161591,0.0,0.1305714886161591,0.0,True,True
fingers + dont_cross_home + same_row + home_row + columns + strum,6,-0.13003575750598687,0.0,0.13003575750598687,0.0,True,True
fingers + dont_cross_home + same_row + columns + strum,5,-0.12955273567994294,0.0,0.12955273567994294,0.0,True,True
fingers + same_row + strum,3,-0.12903260588721954,0.0,0.12903260588721954,0.0,True,True
same_row + home_row + strum,3,-0.12835812711746541,0.0,0.12835812711746541,0.0,True,True
same_row + home_row + strum + strong_fingers,4,-0.12799996716641368,0.0,0.12799996716641368,0.0,True,True
fingers + dont_cross_home + strum,3,-0.12774767460344696,0.0,0.12774767460344696,0.0,True,True
fingers + dont_cross_home + home_row + strum + strong_fingers,5,-0.12641911476418372,0.0,0.12641911476418372,0.0,True,True
dont_cross_home + same_row + home_row + columns + strum + strong_fingers,6,-0.12631435183343195,0.0,0.12631435183343195,0.0,True,True
fingers + dont_cross_home + home_row + columns + strum + strong_fingers,6,-0.12600522106667922,0.0,0.12600522106667922,0.0,True,True
fingers + same_row + home_row + columns,4,-0.12600182074662436,0.0,0.12600182074662436,0.0,True,True
same_row + home_row + columns + strum + strong_fingers,5,-0.12539236161334952,0.0,0.12539236161334952,0.0,True,True
fingers + dont_cross_home + columns + strum + strong_fingers,5,-0.1253058870682117,0.0,0.1253058870682117,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,7,-0.12520535066276178,0.0,0.12520535066276178,0.0,True,True
fingers + dont_cross_home + same_row + home_row + columns,5,-0.12520102747747971,0.0,0.12520102747747971,0.0,True,True
fingers + dont_cross_home + same_row,3,-0.12474488321367759,0.0,0.12474488321367759,0.0,True,True
fingers + home_row + strum + strong_fingers,4,-0.12455963420799109,0.0,0.12455963420799109,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,8,-0.12438541315893592,0.0,0.12438541315893592,0.0,True,True
dont_cross_home + same_row + home_row + strum + strong_fingers,5,-0.12410196932844392,0.0,0.12410196932844392,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + strum,6,-0.12404006417914654,0.0,0.12404006417914654,0.0,True,True
fingers + dont_cross_home + same_row + strong_fingers,4,-0.12400752219077663,0.0,0.12400752219077663,0.0,True,True
dont_cross_home + same_row + columns + strum + strong_fingers,5,-0.12378372051240709,0.0,0.12378372051240709,0.0,True,True
fingers + same_row + strum + strong_fingers,4,-0.1227377699106434,0.0,0.1227377699106434,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum,7,-0.12273622045711698,0.0,0.12273622045711698,0.0,True,True
same_row + home_row + columns + strum,4,-0.12268356088527657,0.0,0.12268356088527657,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,6,-0.12205274448557678,0.0,0.12205274448557678,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,7,-0.12196260098941736,0.0,0.12196260098941736,0.0,True,True
dont_cross_home + same_row + strum + strong_fingers,4,-0.12189443931683645,0.0,0.12189443931683645,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row,5,-0.12176234240487484,0.0,0.12176234240487484,0.0,True,True
fingers + skip_fingers + same_row + home_row + strum,5,-0.12128454771612772,0.0,0.12128454771612772,0.0,True,True
fingers + skip_fingers + same_row + home_row + strum + strong_fingers,6,-0.12122617012993496,0.0,0.12122617012993496,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns,6,-0.1211347275418471,0.0,0.1211347275418471,0.0,True,True
dont_cross_home + same_row + home_row + columns + strum,5,-0.1210270520510511,0.0,0.1210270520510511,0.0,True,True
fingers + dont_cross_home + same_row + columns + strong_fingers,5,-0.12065967487471872,0.0,0.12065967487471872,0.0,True,True
fingers + home_row + strum,3,-0.1201198740314163,0.0,0.1201198740314163,0.0,True,True
dont_cross_home + same_row + home_row + columns + strong_fingers,5,-0.12008792791754644,0.0,0.12008792791754644,0.0,True,True
dont_cross_home + same_row + home_row + strum,4,-0.11986143255561457,0.0,0.11986143255561457,0.0,True,True
fingers + same_row,2,-0.11957906418410694,0.0,0.11957906418410694,0.0,True,True
dont_cross_home + same_row + strum,3,-0.1195081768496505,0.0,0.1195081768496505,0.0,True,True
fingers + dont_cross_home + home_row + strum,4,-0.11934151062962794,0.0,0.11934151062962794,0.0,True,True
fingers + dont_cross_home + columns + strum,4,-0.11924203453326258,0.0,0.11924203453326258,0.0,True,True
fingers + dont_cross_home + same_row + columns,4,-0.11912864396551126,0.0,0.11912864396551126,0.0,True,True
dont_cross_home + same_row + columns + strum,4,-0.1189756905238485,0.0,0.1189756905238485,0.0,True,True
dont_cross_home + home_row + columns + strum + strong_fingers,5,-0.11884357791507903,0.0,0.11884357791507903,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + strum,5,-0.11870757665343341,0.0,0.11870757665343341,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + strum + strong_fingers,6,-0.11814222005838096,0.0,0.11814222005838096,0.0,True,True
fingers + skip_fingers + same_row + home_row + strong_fingers,5,-0.11803577536227654,0.0,0.11803577536227654,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,7,-0.11695871394727332,0.0,0.11695871394727332,0.0,True,True
fingers + skip_fingers + same_row + home_row + columns + strum + strong_fingers,7,-0.1168062301941736,0.0,0.1168062301941736,0.0,True,True
fingers + home_row + columns + strum + strong_fingers,5,-0.11645243291507504,0.0,0.11645243291507504,0.0,True,True
fingers + skip_fingers + same_row + home_row + columns + strum,6,-0.11635314803857592,0.0,0.11635314803857592,0.0,True,True
fingers + skip_fingers + same_row + home_row,4,-0.11629606483399489,0.0,0.11629606483399489,0.0,True,True
fingers + dont_cross_home + home_row + columns + strum,5,-0.11611611525547946,0.0,0.11611611525547946,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,7,-0.11603332232700485,0.0,0.11603332232700485,0.0,True,True
same_row + home_row + columns + strong_fingers,4,-0.11586221167052495,0.0,0.11586221167052495,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + columns + strum,6,-0.11567191017074403,0.0,0.11567191017074403,0.0,True,True
dont_cross_home + same_row + home_row + columns,4,-0.11547284705215838,0.0,0.11547284705215838,0.0,True,True
dont_cross_home + same_row + home_row + strong_fingers,4,-0.11516350605921148,0.0,0.11516350605921148,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + strum,6,-0.11506892093844166,0.0,0.11506892093844166,0.0,True,True
fingers + skip_fingers + dont_cross_home + home_row + strum + strong_fingers,6,-0.11450883709624952,0.0,0.11450883709624952,0.0,True,True
dont_cross_home + columns + strum + strong_fingers,4,-0.11434438786533065,0.0,0.11434438786533065,0.0,True,True
dont_cross_home + home_row + strum + strong_fingers,4,-0.11396659369084429,0.0,0.11396659369084429,0.0,True,True
skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,7,-0.1135072809360197,0.0,0.1135072809360197,0.0,True,True
dont_cross_home + strum + strong_fingers,3,-0.11345353916963721,0.0,0.11345353916963721,0.0,True,True
skip_fingers + dont_cross_home + same_row + home_row + columns + strum,6,-0.11319684305178401,0.0,0.11319684305178401,0.0,True,True
same_row + home_row + strong_fingers,3,-0.11319263183149328,0.0,0.11319263183149328,0.0,True,True
fingers + skip_fingers + same_row + home_row + columns + strong_fingers,6,-0.11295898512118037,0.0,0.11295898512118037,0.0,True,True
dont_cross_home + strum,2,-0.11277564690715286,0.0,0.11277564690715286,0.0,True,True
fingers + same_row + columns + strum,4,-0.11276071862626445,0.0,0.11276071862626445,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,8,-0.11229488611068604,0.0,0.11229488611068604,0.0,True,True
home_row + columns + strum + strong_fingers,4,-0.11229270174815129,0.0,0.11229270174815129,0.0,True,True
same_row + home_row,2,-0.11168073568038399,0.0,0.11168073568038399,0.0,True,True
dont_cross_home + same_row + home_row,3,-0.11168073568038399,0.0,0.11168073568038399,0.0,True,True
skip_fingers + dont_cross_home + same_row + home_row + strum,5,-0.11166081123348286,0.0,0.11166081123348286,0.0,True,True
