combination,k_way,correlation,p_value,abs_correlation,supports_dvorak,p_fdr_corrected,significant_after_fdr
dont_cross_home + home_row + columns + strong_fingers,4,0.441770571,9.92E-24,0.441770571,TRUE,2.67E-21,TRUE
dont_cross_home + columns + strong_fingers,3,0.441563443,1.05E-23,0.441563443,TRUE,2.67E-21,TRUE
dont_cross_home + same_row + home_row + columns + strong_fingers,5,0.438158946,2.50E-23,0.438158946,TRUE,4.26E-21,TRUE
dont_cross_home + same_row + home_row + columns + strum + strong_fingers,6,0.424540698,7.39E-22,0.424540698,TRUE,9.44E-20,TRUE
dont_cross_home + columns,2,0.422808952,1.12E-21,0.422808952,TRUE,1.15E-19,TRUE
fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,6,0.405270264,6.90E-20,0.405270264,TRUE,5.88E-18,TRUE
dont_cross_home + same_row + columns + strong_fingers,4,0.400713107,1.94E-19,0.400713107,TRUE,1.41E-17,TRUE
skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,6,0.391335842,1.54E-18,0.391335842,TRUE,9.81E-17,TRUE
fingers + dont_cross_home + home_row + columns + strong_fingers,5,0.390175729,1.97E-18,0.390175729,TRUE,1.12E-16,TRUE
dont_cross_home + home_row + columns + strum + strong_fingers,5,0.389412452,2.33E-18,0.389412452,TRUE,1.19E-16,TRUE
dont_cross_home + home_row + columns,3,0.384385426,6.83E-18,0.384385426,TRUE,3.17E-16,TRUE
dont_cross_home + same_row + home_row + columns,4,0.383656954,7.97E-18,0.383656954,TRUE,3.33E-16,TRUE
dont_cross_home + same_row + home_row + columns + strum,5,0.383365851,8.48E-18,0.383365851,TRUE,3.33E-16,TRUE
dont_cross_home + same_row + home_row + strong_fingers,4,0.376834863,3.32E-17,0.376834863,TRUE,1.21E-15,TRUE
same_row + home_row + columns + strong_fingers,4,0.37289808,7.46E-17,0.37289808,TRUE,2.47E-15,TRUE
same_row + home_row + columns + strum + strong_fingers,5,0.372723054,7.73E-17,0.372723054,TRUE,2.47E-15,TRUE
dont_cross_home + same_row + columns + strum + strong_fingers,5,0.372346811,8.35E-17,0.372346811,TRUE,2.51E-15,TRUE
dont_cross_home,1,0.369403028,1.52E-16,0.369403028,TRUE,4.30E-15,TRUE
dont_cross_home + same_row + columns,3,0.365747449,3.15E-16,0.365747449,TRUE,8.48E-15,TRUE
fingers + dont_cross_home + same_row + columns + strong_fingers,5,0.36453395,4.01E-16,0.36453395,TRUE,1.02E-14,TRUE
same_row + home_row + strong_fingers,3,0.361368933,7.48E-16,0.361368933,TRUE,1.82E-14,TRUE
fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,7,0.361000698,8.04E-16,0.361000698,TRUE,1.87E-14,TRUE
fingers + dont_cross_home + same_row + home_row + columns,5,0.359688053,1.04E-15,0.359688053,TRUE,2.31E-14,TRUE
fingers + dont_cross_home + columns + strong_fingers,4,0.358437755,1.33E-15,0.358437755,TRUE,2.82E-14,TRUE
skip_fingers + dont_cross_home + home_row + columns + strong_fingers,5,0.353247904,3.59E-15,0.353247904,TRUE,7.34E-14,TRUE
hands + dont_cross_home + same_row + home_row + columns + strong_fingers,6,0.352132056,4.44E-15,0.352132056,TRUE,8.73E-14,TRUE
