combination,correlation,,,,
fingers + skip_fingers + dont_cross_home + same_row,-0.14355526,,,,
fingers + skip_fingers + same_row + home_row,-0.139072976,,,,
fingers + skip_fingers + same_row,-0.138504175,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row,-0.138407607,,,,
fingers + dont_cross_home + same_row + home_row,-0.138367379,,,,
fingers + same_row + home_row,-0.138098611,,,,
hands + fingers + same_row + home_row,-0.137034635,,,,
hands + fingers + same_row + home_row + columns,-0.136161702,,,,
skip_fingers + dont_cross_home + same_row,-0.135657783,,,,
hands + fingers + dont_cross_home + same_row,-0.135343061,,,,
hands + fingers + dont_cross_home + same_row + home_row + columns,-0.134865364,,,,
hands + fingers + dont_cross_home + same_row + home_row,-0.134672376,,,,
skip_fingers + dont_cross_home + same_row + home_row,-0.134300491,,,,
hands + fingers + same_row,-0.132986039,,,,
skip_fingers + same_row + home_row,-0.132981812,,,,
fingers + skip_fingers + same_row + home_row + columns,-0.132494382,,,,
hands + fingers + skip_fingers + same_row + home_row,-0.132351773,,,,
fingers + dont_cross_home + same_row,-0.132330208,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns,-0.132098115,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row,-0.131703637,,,,
hands + fingers + dont_cross_home + same_row + columns,-0.131497286,,,,
fingers + skip_fingers + dont_cross_home + same_row + columns,-0.131157896,,,,
hands + fingers + skip_fingers + same_row + home_row + columns,-0.130191766,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns,-0.129967065,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + columns,-0.12925346,,,,
skip_fingers + same_row,-0.129063303,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row,-0.128723192,,,,
fingers + dont_cross_home + same_row + home_row + columns,-0.128348797,,,,
hands + same_row + home_row,-0.128053417,,,,
hands + dont_cross_home + same_row + home_row,-0.128053417,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row,-0.127984856,,,,
hands + fingers + same_row + columns,-0.127836339,,,,
hands + skip_fingers + same_row + home_row,-0.126683534,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row + columns,-0.125988202,,,,
hands + dont_cross_home + same_row,-0.125317804,,,,
skip_fingers + dont_cross_home + same_row + home_row + columns,-0.125134472,,,,
hands + dont_cross_home + same_row + home_row + columns,-0.125078478,,,,
hands + same_row + home_row + columns,-0.125052001,,,,
fingers + skip_fingers + same_row + columns,-0.124975426,,,,
hands + skip_fingers + dont_cross_home + same_row + columns,-0.124784552,,,,
hands + skip_fingers + dont_cross_home + same_row,-0.124740004,,,,
hands + skip_fingers + same_row + home_row + columns,-0.124352177,,,,
hands + fingers + skip_fingers + same_row + columns,-0.123989457,,,,
hands + fingers + skip_fingers + same_row,-0.123776072,,,,
skip_fingers + same_row + home_row + columns,-0.123646833,,,,
fingers + skip_fingers + same_row + home_row + columns + strong_fingers,-0.123277156,,,,
fingers + dont_cross_home + same_row + home_row + strong_fingers,-0.122780214,,,,
fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,-0.122049847,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,-0.121966844,,,,
fingers + same_row + home_row + columns,-0.121718623,,,,
hands + fingers + skip_fingers + same_row + home_row + columns + strong_fingers,-0.121401064,,,,
fingers + skip_fingers + dont_cross_home + same_row + strong_fingers,-0.121131427,,,,
fingers + skip_fingers + same_row + home_row + strong_fingers,-0.12055538,,,,
hands + same_row,-0.120257222,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,-0.120115454,,,,
hands + fingers + skip_fingers + same_row + home_row + strong_fingers,-0.120055703,,,,
fingers + same_row,-0.119579064,,,,
fingers + skip_fingers + dont_cross_home + same_row + columns + strong_fingers,-0.119547454,,,,
fingers + skip_fingers + same_row + strong_fingers,-0.118820554,,,,
skip_fingers + dont_cross_home + same_row + columns,-0.118517257,,,,
hands + fingers + same_row + home_row + columns + strong_fingers,-0.118494496,,,,
hands + fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,-0.11839952,,,,
fingers + dont_cross_home + same_row + strong_fingers,-0.118397689,,,,
hands + skip_fingers + same_row + columns,-0.118374309,,,,
hands + skip_fingers + same_row,-0.118356349,,,,
hands + dont_cross_home + same_row + columns,-0.118353446,,,,
hands + fingers + same_row + home_row + strong_fingers,-0.118228475,,,,
fingers + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,-0.118203553,,,,
fingers + dont_cross_home + same_row + columns,-0.117833144,,,,
fingers + dont_cross_home,-0.117780814,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,-0.117722655,,,,
fingers + same_row + home_row + strong_fingers,-0.117192986,,,,
hands + fingers + dont_cross_home + same_row + home_row + strong_fingers,-0.11709908,,,,
fingers + skip_fingers + same_row + columns + strong_fingers,-0.116008096,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + strum,-0.115859592,,,,
dont_cross_home + same_row + home_row,-0.115790654,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + strong_fingers,-0.115696659,,,,
hands + fingers + dont_cross_home + same_row + home_row + strum,-0.115623292,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + columns + strong_fingers,-0.115012141,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,-0.113986331,,,,
hands + skip_fingers + same_row + home_row + columns + strong_fingers,-0.11395927,,,,
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum,-0.113703907,,,,
hands + same_row + columns,-0.113612671,,,,
hands + fingers + skip_fingers + same_row + strong_fingers,-0.113368213,,,,
hands + fingers + dont_cross_home + same_row + home_row + columns + strum,-0.112540486,,,,
dont_cross_home + same_row,-0.112316955,,,,
hands + skip_fingers + same_row + home_row + strong_fingers,-0.112282485,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,-0.112282262,,,,
hands + skip_fingers + dont_cross_home + same_row + home_row + strum,-0.112211723,,,,
same_row + home_row,-0.111680736,,,,
fingers + same_row + home_row + columns + strong_fingers,-0.111524224,,,,
hands + fingers + skip_fingers + same_row + columns + strong_fingers,-0.111469555,,,,
fingers + dont_cross_home + same_row + columns + strong_fingers,-0.11146164,,,,
skip_fingers + same_row + columns,-0.111104814,,,,
skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,-0.11099973,,,,
skip_fingers + same_row + home_row + columns + strong_fingers,-0.11097217,,,,
skip_fingers + same_row + home_row + strong_fingers,-0.110789768,,,,
skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,-0.110789758,,,,
hands + fingers + dont_cross_home + same_row + columns + strong_fingers,-0.11050022,,,,
hands + fingers + skip_fingers + dont_cross_home + home_row + columns,-0.110323,,,,
